id,model,parameters,oof_error,observation,label,text
24,SVR,C = 0.1,0.7815,"ngram_range = (1, 3), analyzer = 'char_wb'",longitude,final_text
25,SVR,C = 1,0.51,"ngram_range = (1, 3), analyzer = 'char_wb'",latitude,final_text
25,SVR,C = 1,0.6873,"ngram_range = (1, 3), analyzer = 'char_wb'",longitude,final_text
26,XGBRegressor,"learning_rate = 0.1, n_estimators = 500",0.5062,"ngram_range = (1, 5), analyzer = 'char_wb'",latitude,original
26,XGBRegressor,"learning_rate = 0.1, n_estimators = 500",0.6683,"ngram_range = (1, 5), analyzer = 'char_wb'",longitude,original
27,XGBRegressor,"learning_rate = 0.1, n_estimators = 1000",0.4993,"ngram_range = (1, 7), analyzer = 'char_wb'",latitude,original
27,XGBRegressor,"learning_rate = 0.1, n_estimators = 1000",0.6559999999999999,"ngram_range = (1, 7), analyzer = 'char_wb'",longitude,original
28,XGBRegressor,"learning_rate = 0.1, n_estimators = 1000",0.5002,"ngram_range = (1, 10), analyzer = 'char_wb'",latitude,original
28,XGBRegressor,"learning_rate = 0.1, n_estimators = 1000",0.6567,"ngram_range = (1, 10), analyzer = 'char_wb'",longitude,original
29,XGBRegressor,"learning_rate = 0.1, n_estimators = 1000",0.5125,"ngram_range = (1, 3), analyzer = 'char_wb'",latitude,original
29,XGBRegressor,"learning_rate = 0.1, n_estimators = 1000",0.6796,"ngram_range = (1, 3), analyzer = 'char_wb'",longitude,original
30,XGBRegressor,"learning_rate = 0.1, n_estimators = 1000",0.5227,"ngram_range = (1, 1), analyzer = 'word'",latitude,original
30,XGBRegressor,"learning_rate = 0.1, n_estimators = 1000",0.6914,"ngram_range = (1, 1), analyzer = 'word'",longitude,original
31,XGBRegressor,"learning_rate = 0.1, n_estimators = 1000",0.5059,"ngram_range = (3, 7), analyzer = 'char_wb'",latitude,original
31,XGBRegressor,"learning_rate = 0.1, n_estimators = 1000",0.6689,"ngram_range = (3, 7), analyzer = 'char_wb'",longitude,original
32,XGBRegressor,"learning_rate = 0.1, n_estimators = 1000",0.5447,"ngram_range = (1, 3), analyzer = 'word'",latitude,original
32,XGBRegressor,"learning_rate = 0.1, n_estimators = 1000",0.7398,"ngram_range = (1, 3), analyzer = 'word'",longitude,original
33,Ridge,alpha = 3,0.5436,"ngram_range = (1, 3), analyzer = 'char_wb'",latitude,original
33,Ridge,alpha = 3,0.7369,"ngram_range = (1, 3), analyzer = 'char_wb'",longitude,original
34,Ridge,alpha = 3,0.5248,"ngram_range = (1, 5), analyzer = 'char_wb'",latitude,original
34,Ridge,alpha = 3,0.701,"ngram_range = (1, 5), analyzer = 'char_wb'",longitude,original
35,Ridge,alpha = 3,0.528,"ngram_range = (1, 7), analyzer = 'char_wb'",latitude,original
35,Ridge,alpha = 3,0.7052,"ngram_range = (1, 7), analyzer = 'char_wb'",longitude,original
36,Ridge,alpha = 3,0.5309,"ngram_range = (1, 10), analyzer = 'char_wb'",latitude,original
36,Ridge,alpha = 3,0.7094,"ngram_range = (1, 10), analyzer = 'char_wb'",longitude,original
37,Ridge,alpha = 5,0.5591,"ngram_range = (1, 3), analyzer = 'char_wb'",latitude,original
37,Ridge,alpha = 5,0.7634,"ngram_range = (1, 3), analyzer = 'char_wb'",longitude,original
38,Ridge,alpha = 5,0.5421,"ngram_range = (1, 5), analyzer = 'char_wb'",latitude,original
38,Ridge,alpha = 5,0.7298,"ngram_range = (1, 5), analyzer = 'char_wb'",longitude,original
39,Ridge,alpha = 5,0.5463,"ngram_range = (1, 7), analyzer = 'char_wb'",latitude,original
39,Ridge,alpha = 5,0.7357,"ngram_range = (1, 7), analyzer = 'char_wb'",longitude,original
40,Ridge,alpha = 5,0.5495,"ngram_range = (1, 10), analyzer = 'char_wb'",latitude,original
40,Ridge,alpha = 5,0.7408,"ngram_range = (1, 10), analyzer = 'char_wb'",longitude,original
